time,x,y,z,Absolute,label
0.0133,0.0195,0.0478,0.074,0.0903,stop
0.0213,0.0913,0.111,0.0905,0.17,stop
0.0293,0.154,0.153,0.139,0.258,stop
0.0373,0.195,0.149,0.138,0.281,stop
0.0453,0.19,0.134,0.158,0.281,stop
0.0533,0.16,0.125,0.181,0.272,stop
0.0613,0.122,0.138,0.22,0.287,stop
0.0693,0.0595,0.0996,0.231,0.259,stop
0.0773,0.0503,0.0483,0.248,0.257,stop
0.0853,0.0385,0.0381,0.267,0.272,stop
0.0933,0.0503,0.0487,0.309,0.317,stop
0.101,0.0569,0.08,0.31,0.326,stop
0.109,0.0588,0.116,0.305,0.332,stop
0.117,0.0468,0.127,0.306,0.335,stop
0.125,0.0369,0.134,0.327,0.356,stop
0.133,0.0087,0.115,0.361,0.379,stop
0.141,0.0145,0.114,0.398,0.414,stop
0.149,-0.0115,0.102,0.344,0.359,stop
0.157,-0.0491,0.0894,0.222,0.245,stop
0.165,-0.0775,0.12,0.139,0.199,stop
0.173,-0.0485,0.201,0.136,0.248,stop
0.181,-0.0168,0.194,0.0922,0.216,stop
0.189,0.0293,0.247,0.108,0.271,stop
0.197,0.0915,0.284,0.113,0.319,stop
0.205,0.124,0.265,0.123,0.317,stop
0.213,0.135,0.301,0.194,0.382,stop
0.221,0.109,0.254,0.19,0.335,stop
0.229,0.0196,0.154,0.264,0.306,stop
0.237,-0.0635,0.153,0.323,0.363,stop
0.245,-0.167,0.0159,0.329,0.369,stop
0.253,-0.239,-0.027,0.384,0.453,stop
0.261,-0.273,-0.0773,0.433,0.518,stop
0.269,-0.274,-0.125,0.391,0.494,stop
0.277,-0.238,-0.0598,0.375,0.448,stop
0.285,-0.184,0.0373,0.357,0.403,stop
0.293,-0.155,0.052,0.277,0.322,stop
0.301,-0.151,0.087,0.208,0.272,stop
0.309,-0.156,0.122,0.175,0.265,stop
0.317,-0.155,0.129,0.16,0.257,stop
0.325,-0.166,0.118,0.139,0.246,stop
0.333,-0.18,0.1,0.124,0.241,stop
0.341,-0.22,0.053,0.0283,0.228,stop
0.349,-0.249,0.064,-0.0431,0.26,stop
0.357,-0.264,0.0722,-0.125,0.301,stop
0.365,-0.282,0.0877,-0.238,0.38,stop
0.373,-0.367,0.0432,-0.294,0.472,stop
0.381,-0.475,-0.0763,-0.294,0.564,stop
0.389,-0.579,-0.17,-0.228,0.645,stop
0.397,-0.688,-0.325,-0.0861,0.765,stop
0.405,-0.757,-0.445,0.0268,0.878,stop
0.413,-0.791,-0.526,0.153,0.962,stop
0.421,-0.798,-0.576,0.264,1.02,stop
0.429,-0.829,-0.643,0.32,1.1,stop
0.437,-0.858,-0.69,0.298,1.14,stop
0.445,-0.9,-0.716,0.223,1.17,stop
0.453,-0.942,-0.693,0.0994,1.17,stop
0.461,-0.945,-0.646,-0.0151,1.14,stop
0.469,-0.931,-0.597,-0.0579,1.11,stop
0.477,-0.895,-0.561,-0.0671,1.06,stop
0.485,-0.832,-0.545,-0.0714,0.997,stop
0.493,-0.813,-0.538,-0.0754,0.978,stop
0.502,-0.801,-0.521,-0.0741,0.959,stop
0.51,-0.797,-0.505,-0.0483,0.945,stop
0.518,-0.767,-0.518,0.0263,0.926,stop
0.526,-0.798,-0.547,0.0922,0.971,stop
0.534,-0.817,-0.596,0.155,1.02,stop
0.541,-0.86,-0.633,0.185,1.08,stop
0.549,-0.872,-0.609,0.248,1.09,stop
0.557,-0.833,-0.625,0.36,1.1,stop
0.565,-0.813,-0.68,0.367,1.12,stop
0.573,-0.853,-0.706,0.351,1.16,stop
0.581,-0.846,-0.657,0.273,1.11,stop
0.589,-0.812,-0.564,0.228,1.02,stop
0.597,-0.736,-0.473,0.17,0.891,stop
0.605,-0.671,-0.395,0.169,0.797,stop
0.613,-0.592,-0.331,0.231,0.716,stop
0.621,-0.54,-0.305,0.272,0.677,stop
0.629,-0.515,-0.259,0.265,0.635,stop
0.637,-0.531,-0.251,0.253,0.64,stop
0.645,-0.561,-0.271,0.212,0.658,stop
0.653,-0.599,-0.285,0.199,0.693,stop
0.661,-0.622,-0.328,0.181,0.726,stop
0.669,-0.637,-0.356,0.129,0.741,stop
0.677,-0.634,-0.36,0.073,0.733,stop
0.685,-0.614,-0.356,0.0604,0.712,stop
0.693,-0.563,-0.347,0.0819,0.666,stop
0.701,-0.427,-0.267,0.214,0.548,stop
0.709,-0.369,-0.209,0.358,0.555,stop
0.717,-0.33,-0.206,0.373,0.539,stop
0.725,-0.28,-0.167,0.255,0.414,stop
0.733,-0.236,-0.129,0.129,0.298,stop
0.741,-0.183,-0.0634,0.00751,0.194,stop
0.749,-0.102,0.0121,-0.061,0.119,stop
0.757,-0.0169,0.0785,-0.13,0.153,stop
0.765,0.0393,0.122,-0.18,0.221,stop
0.773,0.0732,0.183,-0.223,0.298,stop
0.781,0.0955,0.212,-0.237,0.332,stop
0.789,0.093,0.175,-0.229,0.303,stop
0.797,0.0669,0.0879,-0.217,0.243,stop
0.805,0.0315,0.0358,-0.21,0.216,stop
0.813,-0.00863,0.00893,-0.195,0.195,stop
0.821,-0.0449,-0.00828,-0.156,0.162,stop
0.829,-0.0777,-0.0356,-0.0731,0.112,stop
0.837,-0.0641,-0.0404,0.0105,0.0765,stop
0.845,-0.047,-0.0326,0.0521,0.0774,stop
0.853,-0.0163,-0.0222,0.0614,0.0673,stop
0.861,0.0187,-0.0131,0.0475,0.0527,stop
0.869,-0.0184,0.00421,0.0297,0.0352,stop
0.877,-0.0262,0.0108,0.118,0.121,stop
0.885,-0.0375,-0.0163,0.115,0.122,stop
0.893,-0.0573,0.024,0.0733,0.096,stop
0.901,-0.061,0.056,0.155,0.176,stop
0.909,-0.0483,0.0612,0.227,0.24,stop
0.917,-0.0631,0.0723,0.173,0.198,stop
0.925,-0.0957,0.0707,0.0751,0.141,stop
0.933,-0.166,0.0416,0.0243,0.173,stop
0.941,-0.247,-0.00131,0.0451,0.251,stop
0.949,-0.305,-0.0205,0.0997,0.321,stop
0.957,-0.301,-0.0501,0.121,0.329,stop
0.965,-0.232,-0.0907,0.11,0.272,stop
0.973,-0.201,-0.127,0.0946,0.256,stop
0.981,-0.199,-0.145,0.046,0.251,stop
0.99,-0.159,-0.13,-0.0121,0.206,stop
0.998,-0.0996,-0.0574,-0.0557,0.128,stop
1.01,-0.0506,-0.00889,-0.0609,0.0797,stop
1.01,0.0167,0.0348,-0.0613,0.0724,stop
1.02,0.0548,0.0403,-0.0473,0.0828,stop
1.03,0.0639,0.0405,0.0293,0.0811,stop
1.04,0.0691,0.0217,0.0674,0.0989,stop
1.05,0.032,0.0457,0.0624,0.0837,stop
1.05,0.014,0.0695,0.0337,0.0785,stop
1.06,-0.0183,0.0644,-0.0045,0.0671,stop
1.07,-0.0318,0.0304,-0.0474,0.0647,stop
1.08,-0.0741,0.0447,-0.0761,0.115,stop
1.09,-0.107,0.04,-0.00441,0.114,stop
1.09,-0.115,0.0216,0.105,0.157,stop
1.1,-0.079,0.00865,0.19,0.206,stop
1.11,-0.0522,0.000769,0.247,0.252,stop
1.12,-0.025,-0.00222,0.265,0.266,stop
